 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:1999
"Unidade da Federação";"072 BCG";"073 Hepatite B";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"018 Sarampo";"009 Haemophilus influenzae b";"Total"
"11 Rondônia";113,72;94,89;96,48;103,35;...;96,38;97,87;0,42;75,39
"12 Acre";97,32;113,88;76,77;99,23;...;55,69;74,42;-;64,67
"13 Amazonas";117,20;64,23;84,06;93,87;...;69,39;82,49;0,12;64,02
"14 Roraima";137,46;95,52;99,13;98,09;...;95,44;96,02;-;77,72
"15 Pará";100,51;63,64;86,14;92,57;...;69,82;85,10;4,11;62,74
"16 Amapá";132,84;83,62;85,72;94,50;...;87,06;100,13;-;72,98
"17 Tocantins";119,50;96,97;107,50;102,84;...;100,13;100,22;0,08;78,45
"21 Maranhão";122,25;35,39;68,41;77,45;...;69,22;93,02;-;65,75
"22 Piauí";113,31;14,23;94,71;11,97;...;91,17;95,26;0,33;62,11
"23 Ceará";119,40;59,57;104,02;14,27;...;101,77;112,02;9,08;77,49
"24 Rio Grande do Norte";105,02;38,88;79,87;1,28;...;87,21;89,81;0,03;57,28
"25 Paraíba";107,34;45,64;94,52;1,61;...;92,32;93,34;0,08;64,35
"26 Pernambuco";141,20;85,69;127,29;0,44;...;103,50;117,36;4,41;72,49
"27 Alagoas";111,97;55,10;85,32;1,52;...;78,83;84,94;0,83;52,39
"28 Sergipe";125,90;72,99;105,68;0,00;...;102,23;104,06;-;78,39
"29 Bahia";106,50;83,39;83,54;36,07;...;80,60;85,62;1,56;70,39
"31 Minas Gerais";103,83;75,64;93,10;56,51;...;91,84;95,96;6,62;76,80
"32 Espírito Santo";118,95;107,94;148,59;0,06;...;108,26;108,38;8,87;89,02
"33 Rio de Janeiro";134,13;77,08;101,67;0,25;...;101,97;106,29;16,33;79,08
"35 São Paulo";128,76;112,32;112,18;11,98;...;110,42;115,24;1,37;89,26
"41 Paraná";107,37;104,07;92,91;0,19;...;93,02;97,89;1,80;74,05
"42 Santa Catarina";100,09;86,46;92,97;0,17;...;92,22;94,31;4,46;70,75
"43 Rio Grande do Sul";110,23;110,45;94,68;0,18;...;95,25;94,14;0,80;74,64
"50 Mato Grosso do Sul";114,96;65,29;97,52;87,28;...;89,41;105,21;0,28;81,13
"51 Mato Grosso";107,83;75,32;111,50;76,55;...;89,43;97,50;2,35;80,08
"52 Goiás";108,16;90,29;98,08;74,20;...;92,33;96,60;8,61;80,35
"53 Distrito Federal";162,78;119,35;126,08;6,77;134,17;125,03;0,00;100,43;85,95
"Total";117,28;83,50;99,08;29,06;6692,10;94,46;99,31;5,09;75,94
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

